"";"Q0_Ouv_point_noir";"Q0_Ouv_commentaires"
"27";"Les grands axes parisiens (nord sud / est ouest), mais surtout l'inaction de la Ville / Préfecture pour assurer le respect des infrastructures et la sécurité des cyclistes. Notamment de la part des taxis et 2RM";"Les liens à l'échelle de la metropole du Grand Paris sont inexistants. Besoin de faire des liens vers les grands centres d'attraction en périphérie de Paris (La Défense, Stade de France, EuroDisney...)."
"28";"La plupart";NA
"29";"Grands axes fréquentés, lieux de marchés,";"Relations tendues entre usagers du vélo et motorisés, aucun respect de la personne humaine et mortelle sur le vélo, mais haine du moyen de transport. Finalement le plus grand danger est le piéton, qui ne regarde jamais jamais ce qu'il fait"
"30";"Place d'Alésia, avenue du général Leclerc, Rue d'alesia";NA
"31";"La place de la concorde 
La place de la Bastille
";NA
"32";"Lorsque la voie cyclable ou la piste cyclable s'interrompt de manière inopinée !";"A Paris les voie de bus sont également des voies cyclables. C'est très appréciable. Toutefois, je comprends très bien que les chauffeurs de bus (quoi que patients) soient exaspérés par les vélos qui sont dans leurs couloirs. Et personnellement, je me sens quand même plus en sécurité lorsque la piste cyclable est totalement séparée des autres voies que lorsqu'on fait voie commune avec les bus et les taxis !"
"33";"Rue de Rome entre boulevard batignoles et pont cardinet";"Communiquer sur le respect des pistes cyclables (je pense surtout aux piétons et aux scooters)"
"34";"Le Nord de Paris";NA
"35";"Les axes où on partage la voie avec les bus comme rivoli, sebastopol.....";"Il faut changer les mentalités,  faire comprendre aux gens que c'est possible de se déplacer à vélo et assurer leur sécurité en faisant en sorte que les vélos soient prioritaires sur les voitures. Comme à Amsterdam où les feux tricolores permettent aux vélos de partir avt les voitures. De plus en hollande certains trajets sont clairement identifiés pour les vélos et non pour les voitures...."
"36";"Pas assez de voies dédiées alors que les axes sont tres rapides";NA
"37";"Sortie métro Poissonnière";"Manque de police antiviolence routière  motorisé."
"38";"barbes magenta ou la piste cyclable est impraticable";"Pas assez encourager par les entreprise et l'état. (Aide à l'achat, indemnité de déplacement)"
"39";"Place de la Bastille";NA
"40";"Il y en a trop pour être précis. Disons la Place de la Concorde...";"Faire respecter la loi, notamment celle concernant les arrêts et stationnements gênants sur les voies cyclables et couloir de bus, mais aussi sur l'utilisation sur ces voies des nouveaux véhicules électriques rapides qui deviennent une vraie plaie..."
"41";"Grandes places étoile concorde Bastille... Franchir le périphérique. Quartiers barbes clignancourt chapelle. Gros axes du 16e";NA
"42";"Aucun itinéraire sécurisé ne relie les grandes places (Concorde, République, Nation, Bastille)";"Il existe une véritable animosité à l'égard des cyclistes, que ce soit de la part des piétons ou des conducteurs de voiture/motos. Il y aurait une véritable éducation à faire pour rétablir l'usage et la légitimité du vélo : les cyclistes sont quasiment inexistants aux yeux des autres usagers et quand ils se rendent compte de leur présence, c'est pour les invectiver. Je reconnais toutefois que les cyclistes doivent également apprendre à respecter les règles de circulation, un trop grand nombre d'entre eux faisant fi des feux rouges, priorités, piétons... Globalement, l'ensemble des usagers de la route devraient d'avantage respecter les règles, cela résoudrait déjà un certain nombre de problèmes :)"
"43";NA;"Limiter les vehicules motorisés : Taxer l'entrée en centre ville ?"
"44";"Boulevard de Magenta";NA
"45";"Entre javel et tour eiffel";NA
"46";"Place de la Bastille
Grands boulevards
Champs Elysées
Place de la Concorde
Porte d'Aubervilliers
Porte de Montreuil
Porte de la Chapelle
Axe du canal St-Martin : pistes trop étroites";"Le vélo, c'est l'avenir de la ville"
"47";"Axe Marx Dormoy+Porte de la Chapelle";NA
"48";"*toutes* les pistes cyclables sur les trottoirs devraient être supprimées et remplacées par des ""vraies"" pistes séparées des traffics piéton et motorisé.
";"J'aimerais *juste* que mes enfants (7 et 9 ans) puissent rouler dans Paris sans avoir peur"
"49";"Les pistes cyclables aménagé sur les trottoirs, ne sont absolument pas adaptées. Considéré malheureusemnt par les cyclistes comme des autoroute à vélo, elles sont un danger permanent pour les piétons.";"Bien qu'intéressé, beaucoup trop de parisiens sont réticent a utiliser le vélo qu'ils considère comme trop dangereux"
"50";"les grands boulevards, les champs elysées";"beaucoup de com, beaucoup de blabla, mais finalement  des aménagements anti-voitures qui génèrent des bouchons donc de la pollution et dressent les usagers les uns contre les autres. Il faudrait mieux aménager des vastes parkings surs et propres sur les grands axes de transports en commun.  ca ferait moins de voiture et donc plus de places pour les vélos. et prévoir des aires de livraisons pour pas que les pro se garent sur les pistes cyclables"
"51";"Boulevard Barbès";"Plus de voies cyclables serait le bienvenu"
"52";NA;"Globalement l'impression que, pour les usagers motorisés, les vélos n'ont rien à faire sur la voie publique. Partant de là, lorsqu'il n'y a pas de piste cyclable (ou qu'elle est squatté comme un parking comme très souvent), les réactions agressives sont nombreuses et immédiates ..."
"53";"Place de la concorde";NA
"54";"Porte de Versailles";NA
"55";"De Porte de La Chapelle à place de Clichy en passant par Pigalle";NA
"56";"Pistes Bd Barbès et Magenta. Ici et partout ailleurs supprimer les pistes sur trottoir. Trajet rues Riquet - Marcadet (ou Ordener). Mettre en double sens cyclable les rues Ramey (et son prolongement rue Clignancourt) et Marcadet (tout du long : du 19ème au 18ème). Faire respecter (verbaliser par video ?) -particulièrement par les 2 roues motorisés- les aménagements cyclistes (sas vélo aux feus rouges, couloir de bus, parking) et les dépassement de cyclistes de trop près.";"C'est tout de même bien mieux qu'à Paris. Les aménageurs de la ville de Paris m'ont l'air assez peu compétents, à moins que ce soit un manque de volonté politique ou un manque de savoir faire pour imposer sa politique à l'administration et aux prestataires. La Police est bien trop hostile aux vélos : impossible même de porter plainte en cas d'agression par un automobiliste ou un motard."
"57";"La Chapelle";NA
"58";"l'absence de pistes cyclables protégées dans la plupart des rues parisiennes";"Merci pour ce questionnaire, hâte de pouvoir circuler de manière fluide et en toute sécurité à Paris !"
"59";"Gare St Lazare";NA
"60";"Nombreuses rues en sens unique
Boulevard Magenta: piste cyclable mal conçue, étroite, occupée par piétons, bosses importantes à chaque croisement de chaussée";NA
"61";"Lorsque l'on prend le pont charle de gaule et que l'on va à gauche quai de la Rapée. Il faut attendre 2 feux pour passer";"Éviter que les équipements vélos soient utilisés par les 2 roues moteur. Pistes cyclables, sas et parkings."
"62";"Toutes la ville aha";NA
"63";"Boulevard Montparnasse et partout où la piste cyclable est au milieu de la chaussée";NA
"64";"Place de la bataille de Stalingrad";"Je trouve qu'à Paris, dans l'idée, nous ne sommes pas à plaindre.
Néanmoins, nous sommes bien équipés au niveau des infrastructures, mais mal au niveau du respect des règles. Les deux roues en circulation ou arrêt sur les pistes cyclables rendent le vivre-ensemble très compliqué."
"65";"Maréchaux très pollues,  pistes cyclables trop étroites et dangereuses avec terre plein. Compliqué de partager l'espace avec les vélos.";NA
"66";"Toutes les rues sont très empruntées, trop de circulation motorisée";"Eduquez les motorisés ! Qu'ils respectent les cyclistes comme des trésors :)"
"67";NA;"Il faut sensibiliser les cyclistes, les piétons  ET les automobilistes à la sécurité et à un comportement civil et responsable"
"68";"Scooters";NA
"69";"Les portes en générale( plus spécifiquement : Porte d'Italie, et porte Maillot)";"Le réseau vélo à Paris n'est que très peu respecté par les autres usagés. Des véhicules stationnent un peu partout dans Paris sur les voies vélos qui sont même parfois utilisé par certain motard pour remonter les files de voitures. A cela s'ajoute le non respect de la priorité de la part de voitures envers les cyclistes qui n'hésitent le plus souvent pas à couper la route sans mettre de clignotant. En dehors de cela il existe un bon début d'infrastructure à Paris pour faire du vélo régulièrement et un certain nombre de personnes ont quand même conscience de ce mode de déplacement. Il reste améliorer les voies de déplacement et à inciter principalement les usagers des véhicules motorisés à un plus grand respect de ce mode de déplacement."
"70";"L'entrée dans Paris sur l'axe Sud-Nord par la Porte d'Orléans, Alésia, Denfert-Rochereau, Port-Royal";"Moins d'effet d'annonce et plus de réalisations : le Plan Vélo a pris un retard considérable !"
"71";"L'accès à la défense.";"Les améliorations existent, mais se concentrent sur des lieux visibles. Les arrondissements périphériques sont oubliés (17e, 15e, ...)"
"72";"boulevard de magenta";NA
"73";NA;"Apaiser la circulation"
"74";"bords de Seine";NA
"75";"Lorsque je me rends au travail, j'emprunte la rue Saint-Jacques. Sur le tronçon entre le boulevard Saint-Germain et la rue des Écoles, je roule à gauche des deux voies, car je tourne ensuite à gauche au niveau du collège de France. Je me fais systématiquement klaxonner. Eh oui, la piste cyclable est à droite, c'est donc là, selon ces messieurs automobilistes (dans la grande majorité des cas, excusez-moi) que je DEVRAIS être.";"Merci la FUB pour cette enquête et votre travail."
"76";"La rue de Rivoli - La petite ceinture dans le nord de Paris (Belleville - Couronnes - Stalingrad - La chapelle...) - La Défense";"Je continue à faire du vélo quotidiennement et suis contente de voir que les infrastructures se démocratisent mais je continue à avoir peur pour ma sécurité. On sent de l'hostilité de la part des motorisés (scooter / camions / bus de la RATP). Les conducteurs RATP ont un comportement très souvent inadmissibles. La mixité bus / vélo n'est pas une bonne idée et je fuis ces infrastructures. Je préfère me mélanger aux voitures Bd de l'Hopital par ex. Trop risqué sur le couloir de bus"
"77";"rue Ordener";"__"
"78";"Tous les sas ne sont pas respectés, les scooters utilisent les pistes cyclable et ne sont jamais verbalisés. Les taxis frôlent à toute vitesse dans les couloirs de bus. C'est un enfer.";NA
"79";"La traversée Nord Sud impraticable de façon continue. Les carrefours en général. Certaines rues à sens unique trop étroites.";"Trop de com, trop d'aménagements pour du km (type voie sur berge à Auteuil) et pas suffisamment d'aménagements utiles sur les axes principaux de circulation. Il faudrait se poser en premier les questions d'usages et de besoins de déplacements avant de savoir où construire les pistes cyclables..."
"80";"bastille";NA
"81";"Tous les grands boulevards dépourvus de pistes cyclables";"Le manque de respect des usagers motorisés à l'égard des cyclistes est la principale source de difficulté à ce mode de déplacement"
"82";NA;"Il faudrait faire respecter le peu d'espace réservé aux vélos"
"83";"concorde
toutes pistes cyclables partagées avec taxi/bus
rue du commerce dans le sens contraire
pistes cyclables sur boulevard Richard Lenoir
rue beaubourg
rue rivoli
avenue des ternes
avenue de la grande armée
avenue du General de gaulle
champs elysées
convention/vouillé/alesia";"Depuis 5 ans, toujours aussi dangereux de faire du vélo dans Paris. Beaucoup de VTC irrespectueux (plus que les taxis), scooters très rapides et dangereux. fort sentiment d'insécurité en me déplaçant. Effet pervers des pistes cyclables sensées protéger, mais non conçues pour l'utilisation du vélo comme moyen de transport, donc pas utilisées comme il se doit. Stationnement de voitures en moyenne tous les 300m sur les pistes cyclables partagées avec les bus/taxi. certaines pistes cyclables dédiées mais complètement discontinues (poteaux au milieu, pas de priorité aux croisement, bosses, passages insensés sur la route etc.) Je crains que le plan vélo 2020 ne soit pas au niveau ! Il faudrait faire appel à Copenhagenize..."
"84";"Les axes où il n'y a pas de voie cyclable ou ceux où la voie cyclable est partagée avec bus et taxis (axe porte d'Orléans/Denfert/Luxembourg/Châtelet/Gare de l'Est";"Danger absolu des 2 roues motorisés qui respectent de moins en moins le code de la route et la place des vélos, itinéraires cyclables très mal indiqués, notamment les transitions (voie cyclable Batignolles/place de Clichy)"
"85";"partout ! Circuler dans les voix bus est très dangereux, tout le monde est exaspéré, bus, taxis, motos, vélos";"Il faut continuer les efforts !"
"86";"Place de la Bastille, place de la Concorde, champs élysées";NA
"87";"Entre place de clichy et nation, les pistes cyclables protéger sont impraticables, soit par des voitures / scooters garer, soit des piétons dessus soit des poubelles.";"Il faut plus d'infrastructures permettant aux gens de se sentir en sécurité en vélo pour ne pas les décourager. Et des infrastructures bien pensé pour ne pas faire de chaque trajet une course d'orientation pour trouver la piste cyclable."
"88";"Quand les pistes cyclables sont partagées avec les bus";"Rappeler aux voitures à quel point il est dangereux de stationner sur des pistes cyclables"
"89";"Les Portes (d'Italie, de Montreuil, Vincennes) aux rond-points passant au-dessus du perif";"Ca va en s'améliorant, ça fait 12 ans que j'en fais ici tous les jours. Il y a de + en + de pistes cyclables, les double-sens vélo sont maintenant présents, les piétons et voitures savent qu'on est là.
Il manque encore les points ci-dessus : stationnement sécurisé est un gros frein pour beaucoup de gens qui voudraient se mettre au vélo (pas de local vélo dans les immeubles). Et l'autorisation des vélos dans les trams seraient un gros gain (beaucoup d'autres villes le font, pourquoi pas Paris ???)"
"90";"Les places, les portes les rues sans piste cyclable.
";"Des pistes cyclable en site propre partout."
"91";"1exemple : jonction entre 14 et 15eme sous pont ferroviaire, impossible de rejoindre la coulée verte sans être en infraction, manque DSC rue procession et liaison correcte vers coulée verte depuis rue Vouillé (manque sas vélo et feu dédié)";"des choix politiques s'imposent, mais la priorité est toujours mise sur le courtermisme des échéances électorales. Le projet de piste rue Lecourbe en est un très bon exemple, ou très mauvais. les cyclistes ont besoin d'itinéraires longs et sécurisés sur des axes majeurs pour se déplacer, tout comme les autres modes de déplacement."
"92";"place de la concorde, place de la Bastille, place de la république,";"J'ai été un peu dure dans mes réponses de satisfaction mais je pense que le problème vient surtout de l'absence de culture vélo que nous n'avons pas en France.
Les pistes cyclables servent à garer les scooters, faire son jogging, entreposer les poubelles, construire un abribus,  se garer en double file ""pour 5 min"". Tout ceci empêche le cycliste de  pédaler de manière fluide. Hors paris offre un large réseaux de piste cyclable. Il y a encore beaucoup de chose à faire mais Paris va dans ce sens pour essayer d’améliorer la vie des cyclistes."
"93";"Boulevard de Charonne";NA
"94";"Rue d'Alesia vers plaisance manque de sécurité pour les vélos. aucune voie de bus. stationnement double file dangereux, non verbalisé.";"c'est déjà pas mal, il faut encourager les actions en cours..."
"95";"place vendôme, avenue magenta, double sens cyclable servant de stationnement automobile dans le sentier. Impression d'être dans le tiers monde dans le 20ème, le 19ème, le 18 ème";"Ne pas vouloir à tout prix créer de nouveaux aménagement mais privilégier l'existant en communiquant davantage et en limitant le trafic motorisé (y compris électrique). Sur les berges de seine on voit de plus en plus de véhicules électriques circuler, et en général dans la ville de plus en plus de scooter électriques emprunter les double-sens cyclables, ce sont des moteurs à bannir des voies dites ""vertes"" au même titre que les moteurs thermiques.
Il y a un vrai problème de 2 roues motorisés sur les aménagements cyclables et piétons et un autre de vélos sur les aménagements piétons. Pour le premier problème c'est entre autres la résultante de la tolérance du stationnement des 2RM sur les trottoirs et pour le deuxième c'est en partie une résultante de la politique cyclable de la ville générant une confusion en créant certains aménagements cyclables sur les trottoirs.
La vitesse de certains VAE, comparable à des 2RM, n'est pas adaptée au traffic des cyclistes, a fortiori sur les aménagement cyclables dédiés."
"96";"BANLIEUE EST, RUE LAFAYETTE, REPUBLIQUE > GRANDS BOULEVARDS";NA
"97";"place de la bastille, boulevard saint marcel (grosses crevasses), avenue gambetta (de père lachaise à Gambetta)";"c'est dangereux. il y a trop de voitures, pas assez de pistes cyclables."
"98";"Porte d'Italie";NA
"99";"les pistes cyclables sur les trottoirs (ex: boulevard Magenta)";NA
"100";"Rue d'Amsterdam (couloir bus/vélos très peu respecté)";"Plusieurs rues en double sens cyclable pourraient être limitées du stationnement automobile pour faciliter la circulation des vélos (+élargir les trottoirs). Un exemple : axe Richer / Petites écuries (liaison Est-Ouest très pratiquée par les cyclistes particulièrement aux heures de pointe)."
"101";"Père Lachaise";NA
"102";"grandes places (bastilles, arc de triomphe...)";NA
"103";"8eme arr";NA
"104";"Place Voltaire";NA
"105";"Les voies de bus sont bien souvents encombrées par des véhicules en stationnement, les pistes cyclable sont  très souvent empruntés par les scooters.
La police n'est pas assez presente pour controller le respect du code la route par les usagers (voitures scooter mais aussi velo)";"Des efforts restent à faire, Paris est loin d'être la capital du vélo. Il faut moins de voiture, pietonniser plus de rue (rue du faubourg st denis par exemple, le marais).
La fermeture des berges est une très bonne chose.
Il ne faut pas voir le velo uniquement comme un loisir  mais un veritable moyen de locomotion."
"106";"Barbes";"Haine envers les cyclistes permanente(scooters,TAXIS ect,voitures en général)
MISE EN DANGER systematique des autres conducteurs lorsque l'on se déplace à vélo"
"107";"avenue de flandre, trop de voiture, bus, incivilités envers les cyclistes, non respect des règles.";NA
"108";"Certains gros boulevards sont dangereux (boulevard Saint Martin par exemple). Le passage des grandes places peuvent être risquées pour les personnes peu habituées ou novices au déplacement à vélo (place de la Bastille, Nation par exemple).";"Afin de développer d'avantage la pratique du vélo à Paris et en plus des efforts inédits réalisés dans ce sens par la mairie de Paris (construction de nouvelles pistes cyclables), il est important de prévoir :
- des stationnements sécurisés et de grande capacité (en priorité dans les gares)
- prévoir des pistes cyclables continues et larges permettant de dépasser aisément
- augmenter la répression envers les véhicules stationnement sur les pistes cyclables
- adapter la signalisation aux vélos"
"109";"Les pistes cyclables installées sur les trottoirs (type bd magenta) ou les piétons s'engagent sans regarder. Les pistes cyclables installée entre le trottoir et une rangée de voiture garées. Les automobiliste ouvrent leur portière et sortent sans regarder. 
La piste cyclable qui débouche sur un carrefour. Il est fréquent que les voitures tournent en coupant la voie de velo sans vérifier si un velo est engagé.";"À l'heure actuelle je préfère circuler en dehors des pistes cyclable. Je trouve qu'elles offrent une illusion de sécurité, mais en réalité elle sont bien trop interrompue pour protéger un cycliste lors d'un trajet complet. Je ne comprend pas non plus l'idée du double sens possible pour les vélos dans les rue à sens unique. C'est cette très pratique pour accéder rapidement où l'on veut mais les voitures laisse très peu de place l'or du croisement et les piéton non pas le réflexe de regarder des 2 côtés avant de traverser. 
En général je dirait qu'en velo à paris il faut penser à la lance de tout le monde si l'on veut faire attention. Anticiper la portière qui va s'ouvrir, la voiture qui va tourner sans mettre son clignotant, le piéton qui va traverser sans regarder parce qu'on arrive sans faire de bruit. Des qu'il est sur un velo à paris, on accepte de se mettre en danger. Chose qu'on ne ressent pas en tant que pieton. Un trottoir est un espace sur pour un piéton, je n'en dirait pas autant d'une piste cyclable parisienne pour un velo."
"110";"Les grandes avenues pavées dont les pistes ne sont pas protégées et les rues étroites sans double sens cyclable";"•	Les aménagements cyclables doivent être mieux pensés en terme de rapidité : ainsi et par exemple l’incroyablement absurde mode d’aménagement choisi pour la piste cyclable sur les Maréchaux sur tout le côté sud de Paris doit être à l’avenir proscrit : c’est un parcours vraiment dissuasif pour un usage quotidien, entre les pentes accentuées des bateaux, les chicanes à chaque carrefour, sans oublier les emprises parfois dangereuses sur les trottoirs. Cette piste est tout juste adaptée à une promenade du Dimanche mais certainement pas à un usage quotidien et utilitaire. Pour ma part je ne l’utilise presque jamais et préfère rouler sur la chaussée au grand dam des automobilistes. Je me demande si l’aménageur de cette piste l’a testée une fois à 15 ou 20 km/h….

•	Les feux rouges sont multiples dans la ville : ce sont des systèmes inventés spécifiquement pour permettre aux voitures et 2 roues motorisés de rouler le plus vite possible. Ils participent donc à l’accroissement de la vitesse en ville aux dépens de tous, y compris vélos et piétons. Ils sont parfois synchronisés entre eux… mais basés sur des vitesses que les vélos ne peuvent suivre : c’est la double peine pour ces derniers. Qui a la main sur leur présence et leur réglage ? Sans coûter un sou, le simple abaissement des vitesses de synchronisation serait déjà un plus en terme de sécurité, pollution et bruit des véhicules à moteur, et un nouveau petit avantage donné aux vélos. De même, basculer un carrefour en feux orange clignotants peut être un bon facteur de ralentissement des vitesses de tous. Au-delà, un plan de suppression progressive des feux et leur substitution par des  « céder le passage » voire par des stops pourrait être utilement entrepris.


"
"111";"L'ensemble des portes pour sortir de Paris intra-muros . 
Beaucoup de rues dans le 10eme ou les voitures et camions stationnent sur la bande cyclable.
Beaucoup d'agressions de taxi lorsqu'on partage la voie de bus";"Continuons le développement du velo dans les agglomérations , il faut sensibiliser les gens, beaucoup n'osent pas monter sur un velo à Paris ."
"112";"Boulevard Magenta";"Pas de pistes cyclables sur le trottoir. Elles sont dangereuses et limitent la vitesse des velos"
"113";"les grands axes (boulevard des capucins par exemple)";"Paris est une ville dangereuse pour pédaler et les vols (même de selle ou de roues) sont trop courants. En outre, les pistes cyclables et routes sont couvertes de verre pas idéal pour le vélo."
"114";"entre parc de la vilette et jaurés";NA
"115";"Les grands boulevards";"Les scooters sont des dangers publiques ; les pistes cyclables sont trop souvent impraticables (mauvais état, occupés par des véhicules) ; les forces de l'ordre ne font absolument pas respecter les règles destinées à protéger les cyclistes"
"116";"Stationnement";"Stop au nettoyage intempestif des pistes cyclables au jet d'eau!!! Avec la crasse et les hydrocarbures, ça les rend extrêmement glissantes !!!"
"117";"Butte aux cailles";NA
"118";"Grands boulevards si l'on doit changer de direction";"Faire son trajet en étant le plus attentif possible aux dangers des véhicules motorisés. Rien ne sert de vouloir éduquer les autres usagers motorisés, les embouteillages et l'influx de testostérone provoqué par la simple vision d'un volant ou de 10 mètres de macadam où pouvoir avancer les rend hermétiques à toute réflexion et à tout changement. Augmenter la répression : verbaliser l'usage intempestif du klaxon en ville, les changements de direction non signalés, le téléphone au volant. Eduquer à l’intérêt et au gain de temps d'autres modes de déplacement pour les trajets urbains de 1 à 12 km."
"119";"Toutes les rues à plusieurs voies. On veut généraliser les zones 30, c'est super, sauf sur les grands axes... Mais c'est justement les grands axes qui font le plus peur aux nouveaux cyclistes ! Pour tourner à gauche, il faut se placer sur la file de gauche, ce qui est souvent difficile avec le flot continu de chauffards qui arrive par derrière. ""les vélos c'est à droite !!!"" peut-on entendre.

Sinon les pistes cyclables sur trottoir sont très problématiques, pour les cyclistes comme pour les piétons. Celle du boulevard Barbès est impraticable en raison de la densité piétonne du quartier. Elles génèrent des conflits d'usage.

Il y a parfois des incohérences de signalisation, qui peuvent être dangereuses. Par exemple, au carrefour de la rue des Pyrénées et de la rue des Grands champs (20ème). C'est une priorité à droite pour tout le monde, sauf pour le double-sens cyclable qui arrive de la rue des Grands champs et qui doit céder le passage, c'est illogique. C'est également le cas au pour la piste en double sens sur le boulevard de Picpus, qui arrive sur le rond-point du square Courteline (12ème). Priorité à droite pour tous, sauf pour les vélos.

Les pistes sur trottoir on un autre problème aux intersections. Par exemple la piste qui descend le boulevard Diderot (12ème). Il faudrait les signaler par des bandes vertes, comme il en existe au débouché du pont de Sully (4ème).

Et je ne parle pas des véhicules stationnés sur les pistes, pardon, les parkings cyclables des boulevards de Belleville et de la Villette, les sas cyclables jamais respectés... Il reste du boulot, mais on avance !";"Je suis ici depuis trois ans et j'ai l'impression que le nombre de cyclistes a largement augmenté, c'est encourageant."
"120";"Stationnement voitures sur piste cyclables, détritus et encombrants dangereux, travaux sans itinéraires alternatif";NA
